title,author,pub_loc,publisher,date,format,contrib_personal,contrib_corporate,genre,location
When in winter /,"DeLong, Jesse,",alu,"Curly Head Press,",2011?],[10] pages : color illustrations ;,"Rossow, Sonja Greentree,",Curly Head Press.,,SOUTHERNCV PS3604 .E4469 W47 2011
A strawberry in the snow /,"Eisenbeis, Leah Lintner.",msu,"Crooked Letter Press,",2007.,57 p. : ill. ;,"Knudson, Ellen.",Crooked Letter Press.,,SOUTHERNCV PS3605 .I829 S77 2007
How swimming saved my life /,"Knudson, Ellen.",msu,"Crooked Letter Press,",2005.,[12] p. : col. ill. ;,,Crooked Letter Press.,,SOUTHERNCV N7433.4 .K6258 H69 2005
"Self-dual : (how to walk a 30,000 mile tightrope) /","Knudson, Ellen.",msu,"Crooked Letter Press,",2005.,1 v. (unpaged) : ill. (some col.) ;,,Crooked Letter Press.,,SOUTHERNCV N7433.4 .K6258 S45 2005
How to love someone forever /,"Knudson, Kevin.",msu,"Crooked Letter Press,",[2004],[25] p. : ill. (some col.) ;,"Knudson, Ellen. Knudson, Kevin.",Crooked Letter Press.,Artists' books--Mississippi. Paste papers (Paper) Broadside poems--Mississippi. Broadsides--Mississippi.,SOUTHERNCV PS3611 .N834 H69 2004 SOUTHERNCV PS3611 .N834 H69 2004 Broadside
How to love someone forever /,"Knudson, Kevin.",msu,"Crooked Letter Press,",[2004],[25] p. : ill. (some col.) ;,"Knudson, Ellen. Knudson, Kevin.",Crooked Letter Press.,Artists' books--Mississippi. Paste papers (Paper) Broadside poems--Mississippi. Broadsides--Mississippi.,SOUTHERNCV PS3611 .N834 H69 2004 SOUTHERNCV PS3611 .N834 H69 2004 Broadside
Triumvirate : three sisters and the houses they inhabit /,"Knudson, Ellen.",msu,"Crooked Letter Press,",[2004],[4] p. : ill. ;,,Crooked Letter Press.,,SOUTHERNCV N7433.4 .K6258 T75 2004
The high road /,"Sawyer, Suzanne.",alu,"Down Home Girl Studio,",2011],[23] p. : map ;,,Down Home Girl Studio.,Artists' books--Alabama--Tuscaloosa Accordion fold format (Binding)--Alabama--Tuscaloosa,SOUTHERNCV N7433.4 .S298 H54 2011
Feelings using wolves /,"Frey, Emily Kendal.",tnu,"Small Fires Press,",2010.,[23] p. : col. ill. ;,"Schomburg, Zachary, 1977- Kerksieck, Friedrich.",Small Fires Press.,,SOUTHERNCV PS3606 .R4866 F44 2010
Forsaken substructure /,"Holland, Kyle (Artist)",tnu,"K. Holland],",2010.,[7] leaves : col. ill. ;,,Memphis College of Art.,,SOUTHERNCV N7433.4 .H655 F67 2010
Teaching a bird to read /,"Sampson, Mary Ann.",alu,"OEOCO],",2004.,1 v. (unpaged) : all col. ill. ;,,OEOCO Press.,Artists' books--Alabama--Ragland,SOUTHERNCV N7433.4 .S25 T43 2004
Faulkner suite /,"Walker, Sue Brannan, 1940-",alu,"OEOCO Press,",2008.,[37] p. : ill. (some col.) ;,"Doyle, Don Harrison, 1946- Sampson, Mary Ann.",OEOCO Press.,,SOUTHCV-OV PS3573 .A4254124 F38 2008
Macaroni and cheese /,"Sampson, Mary Ann.",alu,"Duende Press,",1989],1 v. (unpaged) : all col. ill. ;,"Taylor, Terrence A.",Duende Press.,,SOUTHERNCV N7433.4 .S25 M33 1989
Animalia /,"Rhodes, Royal W.",ncu,"Catbird Press,",c2009.,[17] leaves : ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,,SOUTHCV-OV PS3618 .H629 A85 2009
Milagros /,"Rossow, Sonja Greentree.",alu,"Curly Head Press,",2010.,[8] p. : col. ill. ;,"MacGregor, Katie.",Curly Head Press.,,SOUTHERNCV N7433.4 .R67 M55 2010
"Lugubrious distance : experiencing mourning & loss for North Carolina, almost to an exaggerated degree /","Knudson, Ellen.",flu,"Crooked Letter Press,",2010.,1 v. (unpaged) : col. ill. ;,,Crooked Letter Press.,Artists' books--Florida--Gainesville Accordion fold format (Binding)--Florida--Gainesville Color prints (prints),SOUTHERNCV N7433.4 .K6258 L84 2010
Wild girls redux : an operator's manual /,"Knudson, Ellen.",msu,"Crooked Letter Press,",2009.,1 v. (unpaged) : ill. (some col.) ;,,Crooked Letter Press.,Artists' books--Mississippi--Starkville Accordion fold format (Binding),SOUTHERNCV N7433.4 .K6258 W55 2009
Speak! /,"Wordsworth, William, 1770-1850.",alu,"Down Home Girl Studio,",2011],[16] p. : col. ill. ;,"Sawyer, Suzanne.",Down Home Girl Studio.,Artists' books--Alabama--Tuscaloosa Miniature books.,SOUTHERNCV PR5869 .S7 2011
Exit island /,"Witek, Terri, 1952-",dcu,"Orchises,",2012.,"95 pages, 15 unnumbered pages of plates : illustrations ;","Lopes, Cyriaco. Borezo, Amy.",Orchises Press.,Artists' books--Washington (D.C.),SOUTHERNCV PS3623 .I86 E95 2012b
Multiple voices : multiple histories : reimagining the Civil War.,,vau,"VCUarts Bowe House Press,",[2009?],9 broadsides : col. & b&w ;,"Mahoney, Jamie.",VCUarts Bowe House Press.,Broadsides--Virginia--Richmond,SOUTHCV-OV N7433.4 .M858 2009
Think Hatch.,,vau,"VCUarts Bowe House Press,",2009],[20] leaves (some folded) : col. ill. ;,"Mahoney, Jamie.","VCUarts Bowe House Press.Hatch Show Print (Firm)Country Music Hall of Fame & Museum (Nashville, Tenn.)Virginia Commonwealth University.",Artists' books--Virginia--Richmond,SOUTHERNCV N7433.35 .U6 T48 2009
The kudzu chronicles /,"Fennelly, Beth Ann, 1971-",alu,"Crown Ring Press,",[2005],[33] p. : col. ill. ;,"Owen, Sara G. H.",Crown Ring Press.,,SOUTHERNCV PS3556 .E489 K89 2005
Double tongue /,"Bell, Madison Smartt.",xx ,"Blue from the Death Editions,",c1990.,52 p. : ill. (some col.) ;,"La Fontaine, Jean de (Artist)",Blue from the Death Editions.,Artists' books,SOUTHCV-OV PS3552 .E517 D68 1990
Banished thoughts /,"Ellis, Grace Winn,",ncu,"[Catbird (on the Yadkin) Press],",[2012],2 unnumbered leaves : color illustration ;,"Schupbach-Gordon, Terry,","Catbird (On the Yadkin) Press,",Artists' books--North Carolina--Tobaccoville Woodcuts (prints),SOUTHERNCV PS3605 .L4648 B36 2012
Fossil /,"Love, B. J.,",tnu,"[Small Fires Press],",[2011].,18 unnumbered pages : color illustrations ;,"Kerksieck, Friedrich, Weaver, Cherie,",Small Fires Press.,Artists' books--Tennessee--Memphis,SOUTHERNCV PS3612 .O8338 F67 2011
Bent like the river /,"Schupbach-Gordon, Terry.",ncu,"Catbird Press,",c1994.,[11] p. : col. ill. ;,,Catbird (On the Yadkin) Press.,,SOUTHCV-OV N7433.4 .S359 B46 1994
What lies beyond /,"Schupbach-Gordon, Terry.",ncu,"Catbird (on the Yadkin) Press],",c2012.,1 v. (unpaged) : col. ill. ;,"Hypatia, -415.",Catbird (On the Yadkin) Press.,Artists' books--North Carolina--Tobaccoville,SOUTHERNCV N7433.4 .S359 W48 2012
Thoughts /,"Schupbach-Gordon, Terry.",ncu,"Catbird (on the Yadkin) Press],",c2012.,[4] p. : chiefly col. ill. ;,,Catbird (On the Yadkin) Press.,,SOUTHERNCV N7433.4 .S359 T49 2012
The three goals /,"Budbill, David.",flu,"Hanne Niederhausen,",2010],1 v. (unpaged) : col. ill. ;,"Niederhausen, Hanne.",,Artists' books--Florida--Boca Raton,SOUTHERNCV PS3552 .U346 T49 2010
Road stories /,"Niederhausen, Hanne.",flu,"H. Niederhausen,",2010],1 v. (unpaged) : chiefly col. ill. ;,,,,SOUTHERNCV N7433.4 .N54 R63 2010
Caution /,"Niederhausen, Hanne.",flu,"Hanne Niederhausen,",2005],1 v. (unpaged) : col. ill. ;,,,Artists' books--Florida--Boca Raton Collagraphs (prints) Pop-up books.,SOUTHERNCV N7433.4 .N54 C38 2005
"Moderation is not a negation of intensity, but helps avoid monotony /","Tagliabue, John, 1923-",flu,"H. Niederhausen],",c2007.,1 v. : ill. ;,"Niederhausen, Hanne.",,,SOUTHCV-OV PS3539 .A247 M63 2007
Beginnings /,"Niederhausen, Hanne.",flu,"H. Niederhausen,",c2004.,[40] p. : ill. (some col.) ;,,,,SOUTHCV-OV N7433.4 .N54 B44 2004
[To make you see].,"Sawyer, Suzanne.",alu,"Down Home Girl Studio,",2012.,1 sheet : ill. ;,,Down Home Girl Studio.,,SOUTHERNCV N7433.4 .S298 T6 2012
Crazy quilts.,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2012.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,Artists' books--North Carolina--Boone Linocuts (prints) Miniature books.,SOUTHERNCV N7433.4 .S43 C73 2012
Sirens' songs : livre d'artiste /,"Stevens, Elisabeth.",flu,"Goss Press,",c2010.,"vii, 64 leaves, [13] leaves of plates : ill. ;",,Goss Press.,,SOUTHCV-OV PS3569 .T4513 S57 2010
Hidden horizons : ground for growth /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2012.,[4] p. : col. ill. ;,,Curious Pursuits Press.,Artists' books--North Carolina--Boone,SOUTHERNCV N7433.4 .S43 H533 2012
What is the sound of two invisible hands clapping? /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2012.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,Artists' books--North Carolina--Boone Accordion fold format (Binding)--North Carolina--Boone,SOUTHERNCV N7433.4 .S43 W48 2012
Mallard /,"DeLong, Jesse.",alu,"Curly Head Press,",[2012],8 unnumbered leaves ;,"Rossow, Sonja Greentree,",Curly Head Press.,Artists' books--Alabama--Gordo,SOUTHERNCV PS3604 .E4469 M35 2012
Book of hours /,"Rhodes, Royal W.",ncu,"Catbird (on the Yadkin) Press],",c2012.,[6] leaves : col. ill. ;,"Schupbach-Gordon, Terry.",Catbird (On the Yadkin) Press.,Artists' books--North Carolina--Tobaccoville Woodcuts (prints),SOUTHERNCV PS3618 .H629 B66 2012
Rules for teachers /,"Niederhausen, Hanne.",flu,"Hanne Niederhausen,",2009],[14] p. : col. ill. ;,,,Artists' books--Florida--Boca Raton Accordion fold format (Binding)--Florida--Boca Raton,SOUTHERNCV N7433.4 .N54 R85 2009
Mr. Potatohead in love /,"Bell, Madison Smartt.",mdu,"Blue from the Death Edition,",c1994.,1 sheet : ill. ;,"La Fontaine, Jean de (Artist)",Blue from the Death Editions.,Artists' books--Maryland--Baltimore Woodcuts (prints),SOUTHCV-OV PS3552 .E517 M7 1994
"SCAD/Klingspor : contemporary book art from the Klingspor Museum, University of the Arts, Braunschweig, and the Savannah College of Art and Design /",,gau,"Savannah College of Art and Design,",2010.,85 p. : col. ill. ;,"Davies, Karen.",Savannah College of Art and Design.Klingspor-Museum Offenbach.Hochschule für Bildende Künste Braunschweig.,,SOUTHCV-OV N7433.3 .S45 2010
God created the sea and painted it blue so we'd feel good on it /,"Ray, Michelle (Book artist)",flu,"[Michelle Ray],",2013.,"11 booklets (unpaged), 1 folded leaf : col. ill. ;",,Small Craft Advisory Press.,Artists' books--Florida--Tallahassee,SOUTHERNCV N7433.4 .R387 G63 2013
American breeding standards /,"Knudson, Ellen.",flu,"Crooked Letter Press,",2012 [i.e. 2013].,[59] p. : col. ill. ;,"Dimon, John.",Crooked Letter Press.,Artists' books--Florida--Gainesville,SOUTHERNCV N7433.4 .K6258 A44 2013
A burlap bloom /,"McKnight, Eder J. Williams.",alu,"Down Home Girl Studio,",2013],[18] p. : col. ill. ;,"Sawyer, Suzanne.",Down Home Girl Studio.Cave Paper (Firm),Artists' books--Alabama--Tuscaloosa,SOUTHERNCV PS3613 .C56816 B87 2013
O Sarah! /,"Burton, R. D. (Book artist)",mdu,"R.D. Burton Books,",2011],1 v. (unpaged) : col. ill. ;,"Ballou, Sullivan, 1829-1861.",,Artists' books--Maryland--Havre de Grace Tunnel books.,SOUTHERNCV N7433.4 .B87 O17 2011
Mnemonics /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2013.,1 v. (unpaged) : col. ill. ;,,Curious Pursuits Press.,Artists' books--North Carolina--Boone,SOUTHERNCV N7433.4 .S43 M58 2013
[Dreams /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press],",c2006.,[6] leaves : all col. ill. ;,,Curious Pursuits Press.,Artists' books--North Carolina--Boone Accordion fold format (Binding)--North Carolina--Boone Toy and movable books.,SOUTHERNCV N7433.4 .S43 D74 2006
Freehand /,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",c2013.,[12] p. : ill. (some col.) ;,,Curious Pursuits Press.,Artists' books--North Carolina. Accordion fold format (Binding)--North Carolina. Movable books. Flag books.,SOUTHERNCV N7433.4 .S43 F744 2013
A real fighting man.,"Pirkle, Amy.",alu,"Perkolator Press,",2012],1 v. (unpaged) : ill. ;,"Pirkle, Lee.",Perkolator Press.,Artists' books--Alabama--Tuscaloosa Accordion fold format (Binding)--Alabama--Tuscaloosa Flag books (Toy and movable books),SOUTHERNCV N7433.4 .P544 R43 2012
The faded past : knowledge without power /,"Niederhausen, Hanne.",flu,"Hanne Niederhausen,",2009],[36] p. : col. ill. ;,,,Artists' books--Florida--Boca Raton,SOUTHCV-OV N7433.4 .N54 F33 2009
[The box book] /,,vau,"[VCUarts Bowe House Press],",[2012],3 unnumbered leaves : color illustrations ;,,Virginia Commonwealth University.VCUarts Bowe House Press.,Boxes (containers) Artists' books--Virginia--Richmond Letterpress printing. Chipboard. Staple bindings. Color printing (Printing),SOUTHCV-OV N7433.35 .U6 B69 2012
The mammoth legacy of Stephen Bishop.,"Sharp, Sharon A.",ncu,"Curious Pursuits Press,",2012?],"[18] p. : ill., map, port. ;",,Curious Pursuits Press.,Artists' books--North Carolina--Boone Suminagashi paper.,SOUTHERNCV F457 .M2 S52 2012
To sit with animals /,"Wehner, Mary,",alu,"Red Hydra Press,",2013,20 unnumbered pages : color illustrations ;,"Mendoza, Sigfredo, Miller, Steve, 1950-",Red Hydra Press,Artists' books--Alabama--Tuscaloosa Linocuts (prints),SOUTHERNCV PS3623 .E4227 T6 2013
Dream forest /,"LeQuire, Alan",tnu,"BlueMarigold Press,",2012.,32 unnumbered pages : color illustrations ;,"Hulme, Susan G. Keeter, Jerry, Bell, Madison Smartt, Sherraden, Jim, Leech, Tom, Dixon, Dean Etherington, Don","BlueMarigold PressLarkspur Press,Press of the Palace of Governors,",Artists' books--Tennessee--Nashville. Woodcuts (prints) Typefaces (Type evidence)--Garamond.,SOUTHCV-OV N7433.4 .L47 D74 2012
"Gefn Press : catalogue raisonné, 1977-2007 /",,lau,"Louisiana State University Libraries ;University of Vermont Libraries,",2007.,47 p. : ill. ;,"Olsen, Redell. Meynell, Katharine. Johanknecht, Susan.",Louisiana State University Library.University of Vermont.Gefn Press.,,SEVIER Z232 .G43 G44 2007
The edge /,"Pirkle, Amy,",alu,"Combo Press,",[2013],7 unnumbered leaves : chiefly illustrations ;,"Hughes, Sara Pirkle. Hall, Bill (Artist),","Combo Press,",Aquatints (prints) Accordion fold format. Artists' books--Alabama--Gordo.,SOUTHERNCV N7433.4 .P544 E34 2013
Moon musings /,"Sharp, Sharon A.",ncu,"[Curious Pursuits Press],",[2014?].,"5 leaves : color illustrations, maps ;",,"Curious Pursuits Press,",Artists' books--North Carolina--Boone. Unique books. Linocuts (prints) Beads (pierced objects),SOUTHERNCV N7433.4 .S43 M66 2014
Symmetries /,"Sharp, Sharon A.,",ncu,"Curious Pursuits Press,",[2013],1 volume : illustrations ;,,"Curious Pursuits Press,",Artists' books--North Carolina--Boone. Unique books. Linocuts (prints) Beads (pierced objects) Brads. Typefaces (Type evidence)--Corbel.,SOUTHERNCV N7433.4 .S43 S96 2013
[Balance] /,"Essig, Daniel, 1967-",ncu,"[Daniel Essig],",[2014?],1 art original ;,,,Artists' books--North Carolina. Unique books. Sculpture (visual work) Maple (wood) Nails (fasteners),SOUTHCV-OV N7433.4 .E88 B35 2014
[Endangered] /,"Essig, Daniel, 1967-",ncu,"[Daniel Essig],",[2014?].,1 art original ;,"Engler, Melissa,",,Unique books. Artists' books--North Carolina. Sculpture (visual work) Coptic bindings. Woodcarving. Tooth. Hemp (fiber),SOUTHCV-OV N7433.4 .E88 E53 2014
[Fetish-Gar] /,"Essig, Daniel, 1967-",ncu,"[Daniel Essig],",[2014?].,1 art original ;,,,Unique books. Artists' books--North Carolina. Sculpture (visual work) Dos-à-dos bindings. Coptic bindings. Tintypes (prints) Woodcarving. Seashell.,SOUTHCV-OV N7433.4 .E88 F48 2014
But move not /,"McKnight, Eder J. Williams,",gau,"Down Home Girl Studio,",2012.,12 unnumbered pages : illustrations ;,"Sawyer, Suzanne,","Down Home Girl Studio,",Artists' books--Georgia--Atlanta.,SOUTHERNCV PS3613 .M35 B88 2012
Of the material being plenty : too numerous in fact to track /,"Gorham, A.B.,",flu,"[AB Gorham],",[2013].,32 unnumbered pages : illustrations (some color) ;,,,"Artists' books--Florida--Tallahassee. Turmeric (dye) Herb tea. Coffee (food, dye)",SOUTHERNCV N7433.4 .G663 O37 2013
Whipstock /,"Gorham, A.B.,",flu,"Small Craft Advisory Press,",2014.,35 pages : illustrations (some color);,,"Small Craft Advisory Press,",Artists' books--Florida--Tallahassee. Typefaces (Type evidence)--Scala.,SOUTHERNCV N7433.4 .G663 W45 2014
Preservation conversations : selections from interviews with book conservators /,,alu,"Ilene Books,",2014.,89 pages : black and white illustrations ;,"Taylor, Thomasina, 1988- Taylor, Aaron, 1984- Barrios, Pamela Eldridge, Betsy Palmer Etherington, Don Frellsen, Ann Frost, Gary McAfee, Christopher, 1966- Metzger, Chela Minter, William (Conservator) Peachey, Jeffrey Reid-Cunningham, James Yerkes, Larry",Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Scala. Typefaces (Type evidence)--Scala Sans.,SOUTHERNCV Z701 .P74 2014
Bits and pieces /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",2012.,18 unnumbered pages : color illustrations ;,,Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Bembo. Typefaces (Type evidence)--P22 Dearest Swash.,SOUTHERNCV N7433.4 .T39 B58 2012
An essay on ancient Peruvian textiles : includes black & white diagrams and a full color illustration /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",2013.,14 unnumbered double leaves : illustrations ;,,Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Miniature books. Accordion fold format. Typefaces (Type evidence)--Bembo. Typefaces (Type evidence)--Book Antiqua.,SOUTHERNCV N7433.4 .T39 A64 2013
A guidebook to ancient Nabatean ruins at Petra : with illustrations and descriptions /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",2013.,26 unnumbered pages : color illustrations ;,,Ilene Books and Studio,Artists' books--Alabama--Tuscaloosa. Miniature books. Typefaces (Type evidence)--Bembo. Typefaces (Type evidence)--Copperplate Gothic.,SOUTHERNCV N7433.4 .T39 G85 2013
Pulp /,"Hamrick, Frank, 1977-",lau,"Old Fan Press,",[2013].,1 volume (unpaged) : color illustrations ;,,"Old Fan Press,",Artists' books--Louisiana--Ruston. Paper pulp.,SOUTHERNCV N7433.4 .H3547 P85 2013
Eight bedrooms /,"Pirkle, Amy,",alu,"Perkolator Press,",2013.,"[20] p. : chiefly col. ill., linocuts ;","Hughes, Sara Pirkle,","Perkolator Press,",Letterpress printing. Artists' books--Alabama--Tuscaloosa Linocuts--Alabama,SOUTHERNCV N7433.4 .P544 E3448 2013
"Bird's bar mitzvah, take 3 : [followed by] Bird's bar mitzvah, take 4 : the album /","Peven, Michael,",aru,"Primitive Press,",[2014],12 unnumbered pages : color illustrations ;,,"Primitive Press,",Artists' books--Arkansas--Fayetteville.,SOUTHERNCV N7433.4 .P48 B57 2014
Entwined nasturtiums.,"Rezny, Mary S.,",kyu,"[M.S. Rezny Studio & Gallery],",[2013],1 volume : color illustrations ;,,,Artists' books--Kentucky--Lexington.,SOUTHERNCV N7433.4 .R49 E58 2013
I think I have a floater /,"Rezny, Mary S.,",kyu,"M S Rezny,",[2013].,1 volume (unpaged) : illustrations ;,,,Artists' books--Kentucky--Lexington. Photography (process) Photograms. Eyeglasses. Photographic paper.,SOUTHERNCV N7433.4 .R49 I3 2013
A rose /,"Rezny, Mary S.,",kyu,"[Mary S. Rezny],",[2012].,1 volume : color illustrations ;,,,Artists' books--Kentucky--Lexington.,SOUTHERNCV N7433.4 .R49 R6 2012
Cropwork orange /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",2012.,3 sets of 12 paper discs : color illustrations ;,"Nettles, Bea, 1946- Fichter, Robert.","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee. Letterpress printing.,SOUTHERNCV N7433.4 .B66 C76 2012
Music for teacups /,"Haviland, Melissa",flu,"Small Craft Advisory Press,",2012.,1 folded chain of paper cutout teacups ;,"Colagiovanni, David, Bookwalter, Denise,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV N7433.4 .H38 M87 2012
Disavowal of the matrons.,,flu,"Hybrid Media Graduate Workshop ;Small Craft Advisory Press,",[2011].,36 unnumbered pages : illustrations (some color) ;,"Bookwalter, Denise, Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV N7433.3 .D58 2011
Jar of diamonds /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",2011.,1 folded sheet (4 pages) : illustrations ;,"Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHCV-OV N7433.4 .B665 J37 2011
Carte blanche /,"Snodgrass, Jay,",flu,"Small Craft Advisory Press,",[2013?].,1 folded sheet (8 unnumbered pages) : color illustrations ;,"Bookwalter, Denise, Snodgrass, Kristine,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee.,SOUTHERNCV PS3619 .N634 C37 2013
Concentrics /,"Bookwalter, Denise,",flu,"Small Craft Advisory Press,",[2012].,"1 folded sheet ([6] printed panels, with 5 numbered pages) : illustration (letterpress) ;","Snodgrass, Jay,","Small Craft Advisory Press,",Artists' books--Florida--Tallahassee. Letterpress printing. Accordion fold format (Binding) Poems.,SOUTHERNCV N7433.4 .B66 C66 2012
Experiments in paper : a curated exploration of invasive plants in Alabama as based on early botanicals /,"Barber, Kate.",alu,"Lost Arch papermill & Fifth Floor Studios, The University of Alabama, Tuscaloosa,",2013.,[12] folded sheets : col. ill. ;,,,Artists' books--Alabama--Tuscaloosa Herbaceous plants.,SOUTHERNCV N7433.4 .B354 E97 2013
Fission /,"Barber, Kate,",alu,"[Kate Barber],",[2014].,"8 unnumbered double leaves, 3 inset unnumbered pages : color illustrations ;",,,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Sang Bleu Sans Light.,SOUTHERNCV N7433.4 .B354 F57 2014
Art champs /,"Schick, Ashley L.",gau,"Capybara Press,",[2014].,"18 double leaves : color illustrations,",,"Capybara Press,",Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .S354 A78 2014
A pocket guide to the Haab calendar glyphs /,"Taylor, Thomasina, 1988-",alu,"Ilene Books,",[2012].,25 unnumbered pages : color illustrations ;,,Ilene Books and Studio,Miniature books. Artists' books--Alabama--Tuscaloosa.,SOUTHERNCV N7433.4 .T39 P63 2012
Shame /,"Leeb, Susan,",ncu,"Susan Leeb,",2005.,1 volume (5 leaves) : color illustrations ;,"Goethe, Johann Wolfgang von, 1749-1832.",,Artists books--North Carolina--Chapel Hill Cutouts.,SOUTHERNCV N7433.4 .L44 S53 2005
Flag book : interaction towards a better world /,"Lopes, Fernando (Artist)",gau,"Nexus Press,",1996.,1 v. : chiefly ill. ;,,Nexus Press.Nexus Contemporary Art Center.Atlanta Committee for the Olympic Games.,Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .L65 F45 1996
Otherspace : Martian ty/opography /,"Drucker, Johanna, 1952-",gau,"Nexus Press ;Interplanetary Productions,",[1992].,84 pages : illustrations (some color) ;,"Freeman, Brad, 1951-","Nexus PressInterplanetary Productions,",Artists' books--Georgia--Atlanta. Artists' books--New York--New York.,SOUTHERNCV N7433.4 .D78 O83 1992
Joni Mabe's museum book : the first museum in book form.,,gau,"Nexus Press,",1988.,[40] p. (on double leaves) : chiefly col. ill. ;,"Mabe, Joni Lee, 1957-",Nexus Press.,Artists' books--Georgia--Atlanta.,SOUTHCV-OV N7433.4 .M224 J66 1988
"Joni Mabe's classic postcard book : from her museum of obsessions, personalities, & oddities.","Mabe, Joni Lee, 1957-",gau,"Nexus Press,",1993.,[66] p. : chiefly ill. ;,,,Artists' books--Georgia--Atlanta. Postcards.,SOUTHERNCV NC1879 .M33 A4 1993
Admeasure /,"Ray, Michelle (Book artist),",alu,"Michelle Ray,",[2011].,"24 unnumbered pages : color illustrations, map ;",,,Artists' books--Alabama--Tuscaloosa. Typefaces (Type evidence)--Centaur. Typefaces (Type evidence)--Della Robbia. Cutouts. Linocuts (prints),SOUTHERNCV N7433.4 .R39 A36 2011
The cave protection act of 2013 /,"Ray, Michelle (Book artist),",flu,"Small Craft Advisory Press and formLab,",2013.,"1 volume (unpaged) : color illustrations, engravings ;",,"Small Craft Advisory Press,",Artists' books Engravings--Florida. Typefaces (Type evidence)--Gill Sans.,SOUTHERNCV N7433.4 .R387 C38 2013
"Observations of anxiety, distance, scale and language : containing an account in which I hide in a basement full of Judaica books and explore from a place of relative safety, destruction in miniature / by Michelle Ray ; embellished with stone lithography, photopolymer images and text on handmade paper.","Ray, Michelle,",alu,"[Michelle Ray],",2011.,"[14] p. : col. ill., map ;",,,Artists' books--Alabama--Tuscaloosa. Lithographs. Color lithographs.,SOUTHERNCV N7433.4 .R39 O27 2011
To come upon a street /,"Gorham, A.B.,",alu,"[Michelle Ray],",2011.,1 volume (unpaged) : illustrations (some color) ;,"Ray, Michelle,",,Artists' books--Alabama--Tuscaloosa.,SOUTHERNCV N7433.4 .G663 T6 2011
Immortals : poetry /,"Altice, Nathan.",vau,"VCUarts, Bowe House Press,",[2013].,15 (6 in. x 6 in. x 6 in.) triangular panels ;,"Mahoney, Jamie.",VCUarts Bowe House Press.Virginia Commonwealth University.,Artists' books--Virginia--Richmond.,SOUTHERNCV N7433.4 .A474 I44 2013
Conversation too /,"Dufresne, John",flu,"The Jaffe Center for Book Arts at the Florida Atlantic University Libraries,",[2013].,22 pages : illustrations (some color) ;,"Hettich, Michael, Peralta, Yaddyra, Snyder, Kari Tan, Laura, Virgin, Tom","Jaffe Center for Book Arts,",Artists' books--Florida--Boca Raton.,SOUTHCV-OV N7433.3 .C66 2013
Contemporary art appreciation 101 : how to understand what's contemporary art and what's snot /,"Bronsteen, Earl.",flu,"Art Publishers Inc. [Earl Bronsteen],",c2006.,304 p. : ill. (some col.) ;,,,Artists' books--Florida--Boca Raton.,SOUTHCV-OV N7433.4 .B754 C65 2006
Genetics lesson /,"Fessler, Ann.",gau,"Nexus Press,",c1992.,[25] p. (some folded) : ill. ;,,,Artists' books--Georgia--Atlanta.,SOUTHERNCV N7433.4 .F47 G46 1992
Mine fields /,"Burke, Bill, 1943-",gau,"Nexus Press,",1995.,114 unnumbered pages : illustrations (some color) ;,,Nexus Press,Artists' books--Georgia--Atlanta,SOUTHCV-OV TR820.6 .B875 1995
The Anti-Warhol Museum : proposals for the socially responsible disposal of Warholia /,"O'Connell, Bonnie P.",gau,"Nexus Press,",1993.,1 v. (unpaged) : ill. ;,,Nexus Press.,Artists' books--Georgia. Toy and movable books.,XXN7433.4 .O25 A4 1993
Lupus viator ... /,"Berner, Darya von.",gau,"Nexus Press,",c1997.,[220] p. : all ill. (some col.) ;,,Nexus Press.Atlanta Committee for the Olympic Games.,Artists' books--Georgia--Atlanta. Exhibition catalogs.,SOUTHCV-OV N7433.4 .B465 L8 1997
